"Submitting country","Film title used in nomination","Original title","Language(s)","Director(s)","Result","Result [6]","Title used in nomination","Ceremony"
"Portugal","God's Comedy","A Comédia de Deus","Portuguese","João César Monteiro","Not nominated",NA,NA,"/w"
"Russia","A Moslem","Мусульманин","Russian","Vladimir Khotinenko","Not nominated",NA,NA,"/w"
"Serbia","Underground","Подземље","Serbian, German","Emir Kusturica","Not nominated",NA,NA,"/w"
"Slovakia","The Garden","Záhrada","Slovak","Martin Šulík","Not nominated",NA,NA,"/w"
"South Korea","301, 302","301 302","Korean","Park Chul-soo","Not nominated",NA,NA,"/w"
"Spain","The Flower of My Secret","La Flor de mi secreto","Spanish","Pedro Almodóvar","Not nominated",NA,NA,"/w"
"Sweden","All Things Fair","Lust och fägring stor","Swedish","Bo Widerberg","Nominated",NA,NA,"/w"
"Switzerland","Adultery: A User's Guide","Adultère, mode d'emploi","French","Christine Pascal","Not nominated",NA,NA,"/w"
"Taiwan","Super Citizen Ko","超級大國民","Taiwanese","Wan Jen","Not nominated",NA,NA,"/w"
"Thailand","Once Upon a Time...This Morning","กาลครั้งหนึ่ง เมื่อเช้านี้","Thai","Bhandit Rittakol","Not nominated",NA,NA,"/w"
"Tunisia","Le magique","Le magique","French, Arabic","Azdine Melliti","Not nominated",NA,NA,"/w"
"United Kingdom","Branwen","Branwen","Welsh","Ceri Sherlock","Not nominated",NA,NA,"/w"
"Venezuela","Sicario","Sicario","Spanish","José Ramón Novoa","Not nominated",NA,NA,"/w"
"Albania","Kolonel Bunker","Kolonel Bunker","Albanian","Kujtim Çashku","Not nominated",NA,NA,"/w"
"Algeria","Hi Cousin!","Salut cousin!","French, Arabic","Merzak Allouache","Not nominated",NA,NA,"/w"
"Argentina","Eva Peron","Eva Perón","Spanish","Juan Carlos Desanzo","Not nominated",NA,NA,"/w"
"Australia","Floating Life","Floating Life","Cantonese, English and German","Clara Law","Not nominated",NA,NA,"/w"
"Austria","Hannah","Hannah","German","Reinhard Schwabenitzky","Not nominated",NA,NA,"/w"
"Belarus","From Hell to Hell","Из ада в ад","German, Russian and Yiddish","Dmitriy Astrakhan","Not nominated",NA,NA,"/w"
"Belgium","The Eighth Day","Le huitième jour","French","Jaco Van Dormael","Not nominated",NA,NA,"/w"
"Brazil","Tieta of Agreste","Tieta do Agreste","Portuguese","Carlos Diegues","Not nominated",NA,NA,"/w"
"Canada","Not Me!","Sous-Sol","French","Pierre Gang","Not nominated",NA,NA,"/w"
"Colombia","Oedipus Mayor","Edipo Alcalde","Spanish","Jorge Alí Triana","Not nominated",NA,NA,"/w"
"Croatia","Nausikaya","Nausikaja","Serbo-Croatian","Vicko Ruić","Not nominated",NA,NA,"/w"
"Cuba","Think of Me","Pon tu pensamiento en mí","Spanish","Arturo Sotto Díaz","Not nominated",NA,NA,"/w"
"Czech Republic","Kolya","Kolja","Czech","Jan Svěrák","Won Academy Award",NA,NA,"/w"
"Denmark","Hamsun","Hamsun","Danish, German, Norwegian and Swedish","Jan Troell","Not nominated",NA,NA,"/w"
"Finland","Drifting Clouds","Kauas pilvet karkaavat","Finnish","Aki Kaurismäki","Disqualified[3]",NA,NA,"/w"
"France","Ridicule","Ridicule","French","Patrice Leconte","Nominated",NA,NA,"/w"
"Georgia","A Chef in Love","შეყვარებული კულინარის 1001 რეცეპტი","French, Georgian, Russian","Nana Jorjadze","Nominated",NA,NA,"/w"
"Germany","Deathmaker","Der Totmacher","German","Romuald Karmakar","Not nominated",NA,NA,"/w"
"Hong Kong","Hu-Du-Men","虎度門","Cantonese","Shu Kei","Not nominated",NA,NA,"/w"
"Hungary","Vaska Easoff","Haggyállógva Vászka","Hungarian","Péter Gothár","Not nominated",NA,NA,"/w"
"Iceland","Devil's Island","Djöflaeyjan","Icelandic","Friðrik Þór Friðriksson","Not nominated",NA,NA,"/w"
"India","Indian","இந்தியன்","Tamil","S. Shankar","Not nominated",NA,NA,"/w"
"Israel","Saint Clara","קלרה הקדושה","Hebrew/Russian","Ari Folman & Ori Sivan","Not nominated",NA,NA,"/w"
"Italy","My Generation","Mia Generazione","Italian","Wilma Labate","Not nominated",NA,NA,"/w"
"Japan","Gakko II","学校II","Japanese","Yoji Yamada","Not nominated",NA,NA,"/w"
"Mexico","Between Pancho Villa and a Naked Woman","Entre Pancho Villa y una mujer desnuda","Spanish","Sabina Berman & Isabelle Tardans","Not nominated",NA,NA,"/w"
"Netherlands","Long Live the Queen","Lang leve de koningin","Dutch","Esmé Lammers","Not nominated",NA,NA,"/w"
"Norway","The Other Side of Sunday","Søndagsengler","Norwegian","Berit Nesheim","Nominated",NA,NA,"/w"
"Philippines","Dead Sure","Segurista","Tagalog","Tikoy Aguiluz","Not nominated",NA,NA,"/w"
"Poland","At Full Gallop","Cwal","Polish","Krzysztof Zanussi","Not nominated",NA,NA,"/w"
"Romania","State of Things","Stare de Fapt","Romanian","Stere Gulea","Not nominated",NA,NA,"/w"
"Russia","Prisoner of the Mountains","Кавказский пленник","Russian","Sergei Bodrov","Nominated",NA,NA,"/w"
"Serbia","Pretty Village, Pretty Flame","Лепа села лепо горе","Serbo-Croatian","Srđan Dragojević","Not nominated",NA,NA,"/w"
"Slovenia","Felix","Feliks","Slovenian","Božo Šprajc","Not nominated",NA,NA,"/w"
"Spain","Bwana","Bwana","Spanish","Imanol Uribe","Not nominated",NA,NA,"/w"
"Sweden","Jerusalem","Jerusalem","Swedish","Bille August","Not nominated",NA,NA,"/w"
"Switzerland","Les Agneaux","Les Agneaux","French","Marcel Schüpbach","Not nominated",NA,NA,"/w"
"Taiwan","Tonight Nobody Goes Home","今天不回家","Mandarin","Sylvia Chang","Not nominated",NA,NA,"/w"
"Vietnam","Gone, Gone Forever Gone","Gate, gate, paragate","Vietnamese","Hồ Quang Minh","Not nominated",NA,NA,"/w"
"Argentina","Ashes of Paradise","Cenizas del paraíso","Spanish","Marcelo Piñeyro","Not nominated",NA,NA,"/w"
"Austria","The Unfish","Der Unfisch","German","Robert Dornhelm","Not nominated",NA,NA,"/w"
"Belgium","My Life in Pink","Ma Vie en Rose","French","Alain Berliner","Not nominated",NA,NA,"/w"
"Brazil","Four Days in September","O que é isso, companheiro?","Portuguese","Bruno Barreto","Nominated",NA,NA,"/w"
"Canada","Cosmos","Cosmos","French","Jennifer Alleyn, Manon Briand, Marie-Julie Dallaire, Arto Paragamian, André Turpin & Denis Villeneuve","Not nominated",NA,NA,"/w"
"Colombia","The Debt","La Deuda","Spanish","Manuel José Álvarez & Nicolás Buenaventura","Not nominated",NA,NA,"/w"
"DR Congo","Macadam Tribu","Macadam Tribu","French","Zeka Laplaine","Not nominated",NA,NA,"/w"
"Croatia","Lapitch the Little Shoemaker","Čudnovate zgode šegrta Hlapića","Croatian","Milan Blažeković","Not nominated",NA,NA,"/w"
"Cuba","Vertical Love","Amor Vertical","Spanish","Arturo Sotto Díaz","Not nominated",NA,NA,"/w"
"Czech Republic","A Forgotten Light","Zapomenuté světlo","Czech","Vladimír Michálek","Not nominated",NA,NA,"/w"
"Denmark","Barbara","Barbara","Danish","Nils Malmros","Not nominated",NA,NA,"/w"
"Egypt","Destiny","المصير","Arabic","Youssef Chahine","Not nominated",NA,NA,"/w"
"Finland","The Collector","Neitoperho","Finnish","Auli Mantila","Not nominated",NA,NA,"/w"
"France","Western","Western","French","Manuel Poirier","Not nominated",NA,NA,"/w"
"Germany","Beyond Silence","Jenseits der Stille","German","Caroline Link","Nominated",NA,NA,"/w"
"Greece","Slaughter of the Cock","Η Σφαγή του Κόκορα","Greek","Andreas Pantzis","Not nominated",NA,NA,"/w"
"Hungary","The Witman Boys","Witman fiúk","Hungarian","János Szász","Not nominated",NA,NA,"/w"
"Iceland","Blossi/810551","Blossi/810551","Icelandic","Júlíus Kemp","Not nominated",NA,NA,"/w"
"Iran","Gabbeh","گبه","Persian","Mohsen Makhmalbaf","Not nominated",NA,NA,"/w"
"Israel","Pick a Card","עפולה אקספרס","Hebrew","Julie Shles","Not nominated",NA,NA,"/w"
"Italy","The Best Man","Il Testimone dello sposo","Italian","Pupi Avati","Not nominated",NA,NA,"/w"
"Japan","Princess Mononoke","もののけ姫","Japanese","Hayao Miyazaki","Not nominated",NA,NA,"/w"
"Luxembourg","Women","Elles","French","Luís Galvão Teles","Not nominated",NA,NA,"/w"
"Former Yugoslav Republic of Macedonia","Gypsy Magic","Gypsy Magic","Macedonian","Stole Popov","Not nominated",NA,NA,"/w"
"Mexico","Deep Crimson","Profundo Carmesí","Spanish","Arturo Ripstein","Not nominated",NA,NA,"/w"
"Netherlands","Character","Karakter","Dutch","Mike van Diem","Won Academy Award",NA,NA,"/w"
"Norway","Junk Mail","Budbringeren","Norwegian","Pål Sletaune","Not nominated",NA,NA,"/w"
"Philippines","Milagros","Milagros","Tagalog","Marilou Diaz-Abaya","Not nominated",NA,NA,"/w"
"Poland","Love Stories","Historie Miłosne","Polish","Jerzy Stuhr","Not nominated",NA,NA,"/w"
"Portugal","Journey to the Beginning of the World","Viagem ao princípio do Mundo","Portuguese","Manoel de Oliveira","Not nominated",NA,NA,"/w"
"Russia","The Thief","Вор","Russian","Pavel Chukhray","Nominated",NA,NA,"/w"
"Serbia","Three Summer Days","Tri letnja dana","Serbian","Mirjana Vukomanović","Not nominated",NA,NA,"/w"
"Slovakia","Orbis Pictus","Orbis Pictus","Slovak","Martin Šulík","Not nominated",NA,NA,"/w"
"Slovenia","Outsider","Avtsajder","Slovene","Andrej Košak","Not nominated",NA,NA,"/w"
"South Africa","Paljas","Paljas","Afrikaans","Katinka Heyns","Not nominated",NA,NA,"/w"
"Spain","Secrets of the Heart","Secretos del corazón","Spanish","Montxo Armendáriz","Nominated",NA,NA,"/w"
"Sweden","Tic Tac","Tic Tac","Swedish","Daniel Alfredson","Not nominated",NA,NA,"/w"
"Switzerland","For Ever Mozart","For Ever Mozart","French","Jean-Luc Godard","Not nominated",NA,NA,"/w"
"Taiwan","Yours and Mine","我的神经病","Chinese","Shaudi Wang","Not nominated",NA,NA,"/w"
"Thailand","Daughter 2","เสียดาย 2","Thai","Chatrichalerm Yukol","Not nominated",NA,NA,"/w"
"Turkey","The Bandit","Eşkıya","Turkish","Yavuz Turgul","Not nominated",NA,NA,"/w"
"Ukraine","A Friend of the Deceased","Приятель покойника","Russian","Vyacheslav Krishtofovich","Not nominated",NA,NA,"/w"
"Venezuela","One Life and Two Trails","Una vida y dos mandados","Spanish","Alberto Arvelo","Not nominated",NA,NA,"/w"
"Argentina","Tango","Tango, no me dejes nunca","Spanish","Carlos Saura","Nominated",NA,NA,"/w"
"Austria","The Inheritors","Die Siebtelbauern","German","Stefan Ruzowitzky","Not nominated",NA,NA,"/w"
"Belgium","Rosie","Rosie","Dutch","Patrice Toye","Not nominated",NA,NA,"/w"
"Brazil","Central Station","Central do Brasil","Portuguese","Walter Salles","Nominated",NA,NA,"/w"
"Canada","August 32nd on Earth","Un 32 Août sur Terre","French","Denis Villeneuve","Not nominated",NA,NA,"/w"
"China","Genghis Khan","一代天骄成吉思汗","Chinese, Mongolian","Sai Fu & Lisi Mai","Not nominated",NA,NA,"/w"
"Colombia","La vendedora de rosas","La Vendedora de Rosas","Spanish","Víctor Gaviria","Not nominated",NA,NA,"/w"
"Croatia","Transatlantic","Transatlantik","Croatian","Mladen Juran","Not nominated",NA,NA,"/w"
"Czech Republic","Sekal Has to Die","Je třeba zabít Sekala","Czech","Vladimír Michálek","Not nominated",NA,NA,"/w"
"Denmark","The Celebration","Festen","Danish","Thomas Vinterberg","Not nominated",NA,NA,"/w"
"Finland","A Summer by the River","Kuningasjätkä","Finnish","Markku Pölönen","Not nominated",NA,NA,"/w"
"France","The Dreamlife of Angels","La vie rêvée des anges","French","Erick Zonca","Not nominated",NA,NA,"/w"
"Germany","Run Lola Run","Lola rennt","German","Tom Tykwer","Not nominated",NA,NA,"/w"
"Greece","Eternity and a Day","Μια αιωνιότητα και μια μέρα","Greek","Theo Angelopoulos","Not nominated",NA,NA,"/w"
"Hong Kong","Made in Hong Kong","香港製造","Cantonese","Fruit Chan","Not nominated",NA,NA,"/w"
"Hungary","Gypsy Lore","Romani kris - Cigánytörvény","Hungarian","Bence Gyöngyössy","Not nominated",NA,NA,"/w"
"Iceland","Count Me Out","Stikkfrí","Icelandic","Ari Kristinsson","Not nominated",NA,NA,"/w"
"India","Jeans","ஜீன்ஸ்","Tamil","S. Shankar","Not nominated",NA,NA,"/w"
"Indonesia","Leaf on a Pillow","Daun di atas bantal","Indonesian","Garin Nugroho","Not nominated",NA,NA,"/w"
"Iran","Children of Heaven","بچه هاي آسمان","Persian","Majid Majidi","Nominated",NA,NA,"/w"
"Israel","Circus Palestine","קרקס פלשתינהسرك فلسطين","Hebrew, Arabic, Russian","Eyal Halfon","Not nominated",NA,NA,"/w"
"Italy","Life Is Beautiful","La vita è bella","Italian","Roberto Benigni","Won Academy Award",NA,NA,"/w"
"Japan","Begging for Love","愛を乞う人","Japanese","Hideyuki Hirayama","Not nominated",NA,NA,"/w"
"Kyrgyzstan","Beshkempir","Бешкемпир","Kyrgyz","Aktan Abdykalykov","Not nominated",NA,NA,"/w"
"Lebanon","West Beyrouth","غرب بيروت","Arabic","Ziad Doueiri","Not nominated",NA,NA,"/w"
"Luxembourg","Back in Trouble","Back in Trouble","Luxembourgish","Andy Bausch","Not nominated",NA,NA,"/w"
"Former Yugoslav Republic of Macedonia","Goodbye, 20th Century!","Збогум на 20-тиот век","Macedonian","Darko Mitrevski & Aleksandar Popovski","Not nominated",NA,NA,"/w"
"Mexico","Un embrujo","Un embrujo","Spanish","Carlos Carrera","Not nominated",NA,NA,"/w"
"Morocco","Mektoub","مكتوب","Arabic","Nabil Ayouch","Not nominated",NA,NA,"/w"
"Netherlands","The Polish Bride","De Poolse bruid","Dutch, Polish","Karim Traidia","Not nominated",NA,NA,"/w"
"Norway","Only Clouds Move the Stars","Bare skyer beveger stjernene","Norwegian","Torun Lian","Not nominated",NA,NA,"/w"
"Philippines","In the Navel of the Sea","Sa Pusod ng Dagat","Tagalog","Marilou Diaz-Abaya","Not nominated",NA,NA,"/w"
"Portugal","Anxiety","Inquietude","Portuguese","Manoel de Oliveira","Not nominated",NA,NA,"/w"
"Puerto Rico","Heroes from Another Country","Heroes de Otra Patria","Spanish","Iván Dariel Ortíz","Not nominated",NA,NA,"/w"
"Romania","Terminus Paradise","Terminus Paradis","Romanian","Lucian Pintilie","Not nominated",NA,NA,"/w"
"Russia","The Barber of Siberia[4]","Сибирский цирюльник","Russian, English","Nikita Mikhalkov","Disqualified",NA,NA,"/w"
"Serbia","The Powder Keg","Bure baruta","Serbian","Goran Paskaljević","Not nominated",NA,NA,"/w"
"Slovakia","Rivers of Babylon","Rivers of Babylon","Slovak","Vlado Balco","Not nominated",NA,NA,"/w"
"Spain","The Grandfather","El Abuelo","Spanish","José Luis Garci","Nominated",NA,NA,"/w"
"Sweden","Show Me Love","Fucking Åmål","Swedish","Lukas Moodysson","Not nominated",NA,NA,"/w"
"Switzerland","War in the Highlands","La Guerre Dans le Haut Pays","French","Francis Reusser","Not nominated",NA,NA,"/w"
"Taiwan","Flowers of Shanghai","海上花","Chinese","Hou Hsiao-hsien","Not nominated",NA,NA,"/w"
"Thailand","Who Is Running?","ท้าฟ้าลิขิต","Thai","Oxide Pang Chun","Not nominated",NA,NA,"/w"
"United Kingdom","Cameleon","Cameleon","Welsh","Ceri Sherlock","Not nominated",NA,NA,"/w"
"Venezuela","Loop","Rizo","Spanish","Julio Sosa Pietri","Not nominated",NA,NA,"/w"
"Argentina","Manuelita","Manuelita","Spanish","Manuel García Ferré","Not nominated",NA,NA,"/w"
"Austria","Northern Skirts","Nordrand","German","Barbara Albert","Not nominated",NA,NA,"/w"
"Belgium","Rosetta","Rosetta","French","Luc and Jean-Pierre Dardenne","Not nominated",NA,NA,"/w"
"Bhutan","The Cup","Phörpa","Tibetan","Khyentse Norbu","Not nominated",NA,NA,"/w"
"Brazil","Orfeu","Orfeu","Portuguese","Carlos Diegues","Not nominated",NA,NA,"/w"
"Canada","Set Me Free","Emporte-moi","French","Léa Pool","Not nominated",NA,NA,"/w"
"China","Lover's Grief over the Yellow River","Huanghe juelian (黄河绝恋)","Mandarin","Feng Xiaoning","Not nominated",NA,NA,"/w"
"Colombia","Time Out","Golpe de estadio","Spanish","Sergio Cabrera","Not nominated",NA,NA,"/w"
"Croatia","Red Dust","Crvena prašina","Croatian","Zrinko Ogresta","Not nominated",NA,NA,"/w"
"Czech Republic","The Idiot Returns","Návrat idiota","Czech","Saša Gedeon","Not nominated",NA,NA,"/w"
"Denmark","Mifune","Mifunes sidste sang","Danish","Søren Kragh-Jacobsen","Not nominated",NA,NA,"/w"
"Finland","The Tough Ones","Häjyt","Finnish","Aleksi Mäkelä","Not nominated",NA,NA,"/w"
"France","East-West","Est-Ouest","French, Russian","Régis Wargnier","Nominated",NA,NA,"/w"
"Georgia","Here Comes the Dawn","Ak tendeba (აქ თენდება)","Georgian","Zaza Urushadze","Not nominated",NA,NA,"/w"
"Germany","Aimée & Jaguar","Aimée und Jaguar","German","Max Färberböck","Not nominated",NA,NA,"/w"
"Greece","From the Edge of the City","Apo tin akri tis polis (Από την άκρη της πόλης)","Greek, Russian","Constantinos Giannaris","Not nominated",NA,NA,"/w"
"Hong Kong","Ordinary Heroes","Qian yan wan yu (千言萬語)","Cantonese","Ann Hui","Not nominated",NA,NA,"/w"
"Hungary","The Lord's Lantern in Budapest","Nekem lámpást adott kezembe az Úr Pesten","Hungarian","Miklós Jancsó","Not nominated",NA,NA,"/w"
"Iceland","The Honour of the House","Ungfrúin góða og húsið","Icelandic","Guðný Halldórsdóttir","Not nominated",NA,NA,"/w"
"India","Earth","Earth (अर्थ)","Hindi, English, Parsee, Punjabi, Urdu","Deepa Mehta","Not nominated",NA,NA,"/w"
"Indonesia","Sri","Sri","Indonesian","Marselli Sumarno","Not nominated",NA,NA,"/w"
"Iran","The Colours of Paradise","Rang-e khoda (رنگ خدا)","Persian","Majid Majidi","Not nominated",NA,NA,"/w"
"Israel","Yana's Friends","Ha-Chaverim Shel Yana (החברים של יאנה)","Hebrew, Russian, English","Arik Kaplun","Not nominated",NA,NA,"/w"
"Italy","Not of this World","Fuori dal mondo","Italian","Giuseppe Piccioni","Not nominated",NA,NA,"/w"
"Japan","Railroad Man","Poppoya (鉄道員)","Japanese","Yasuo Furuhata","Not nominated",NA,NA,"/w"
"Lebanon","Around the Pink House","Autour de la maison rose (البيت الزهري)","French, Arabic","Joana HadjithomasKhalil Joreige","Not nominated",NA,NA,"/w"
"Mexico","El Coronel no tiene quien le escriba","El coronel no tiene quien le escriba","Spanish","Arturo Ripstein","Not nominated",NA,NA,"/w"
"Nepal","Caravan","Himalaya (हिमालय)","Tibetan","Éric Valli","Nominated",NA,NA,"/w"
"Netherlands","Scratches in the Table","Madelief, krassen in het tafelblad","Dutch","Ineke Houtman","Not nominated",NA,NA,"/w"
"Norway","The Prompter","Suffløsen","Norwegian","Hilde Heier","Not nominated",NA,NA,"/w"
"Peru","Captain Pantoja and the Special Services","Pantaleón y las visitadoras","Spanish","Francisco J. Lombardi","Not nominated",NA,NA,"/w"
"Philippines","The Kite","Saranggola","Filipino, Tagalog","Gil Portes","Not nominated",NA,NA,"/w"
"Poland","Pan Tadeusz","Pan Tadeusz","Polish","Andrzej Wajda","Not nominated",NA,NA,"/w"
"Portugal","The Mutants","Os Mutantes","Portuguese","Teresa Villaverde","Not nominated",NA,NA,"/w"
"Romania","The Famous Paparazzo","Faimosul paparazzo","Romanian","Nicolae Margineanu","Not nominated",NA,NA,"/w"
"Russia","Moloch","Molokh (Молох)","German","Alexander Sokurov","Not nominated",NA,NA,"/w"
"Serbia","The White Suit","Belo odelo (Бело одело)","Serbian","Lazar Ristovski","Not nominated",NA,NA,"/w"
"Slovakia","All My Loved Ones","Vsichni moji blízcí","Czech","Matej Mináč","Not nominated",NA,NA,"/w"
"Spain","All About My Mother","Todo sobre mi madre","Spanish","Pedro Almodóvar","Won Academy Award",NA,NA,"/w"
"Sweden","Under the Sun","Under solen","Swedish","Colin Nutley","Nominated",NA,NA,"/w"
